Year,Month,Company,Product,Customer Category,Customer,MJPRDesc,Region,Product Detail,No. of People,SalesOffice,Sales Channel,Price,Regional Manager,Sales Head
2021,June,BGSW,Support,Premium,Amazon,Workpacket,South,Services,9,Hyderabad,External,643.02,Anil Kumar,Ravi Shankar
2021,February,BGSW,Services,Basic,Amazon,Upgrade,South,Consulting,8,Chennai,External,4142.44,Anil Kumar,Ravi Shankar
2021,June,BGSW,Software,Standard,Google,Workpacket,South,Consulting,6,Hyderabad,Internal,2209.67,Anil Kumar,Ravi Shankar
2022,May,BGSW,Support,Premium,Wipro,Upgrade,East,Services,7,Hyderabad,External,4232.32,Meena Das,Sourav Roy
2023,February,BGSW,Services,Premium,Wipro,Workpacket,East,Support,2,Bangalore,Internal,2210.57,Meena Das,Sourav Roy
2023,March,BGSW,Consulting,Standard,Google,Workpacket,West,Support,2,Chennai,Internal,2903.63,Vikram Joshi,Neha Kapoor
2021,April,BGSW,Software,Standard,Wipro,Workpacket,North,Support,1,Bangalore,Internal,4122.71,Priya Singh,Manoj Verma
2022,January,BGSW,Consulting,Basic,Wipro,Maintenance,West,Consulting,8,Mumbai,External,1142.92,Vikram Joshi,Neha Kapoor
2021,June,BGSW,Support,Basic,Infosys,Upgrade,North,Software,6,Bangalore,Internal,2792.87,Priya Singh,Manoj Verma
2021,January,BGSW,Consulting,Basic,Amazon,Upgrade,South,Services,7,Mumbai,External,2881.01,Anil Kumar,Ravi Shankar
2023,June,BGSW,Services,Basic,Infosys,Maintenance,South,Support,2,Delhi,External,1211.71,Anil Kumar,Ravi Shankar
2023,June,BGSW,Support,Basic,TCS,Workpacket,South,Services,5,Kolkata,Internal,1187.78,Anil Kumar,Ravi Shankar
2023,May,BGSW,Services,Basic,Google,Upgrade,North,Services,2,Delhi,External,1577.54,Priya Singh,Manoj Verma
2023,January,BGSW,Services,Basic,BBG,Support,North,Consulting,3,Kolkata,External,4760.82,Priya Singh,Manoj Verma
2022,May,BGSW,Software,Premium,Infosys,Workpacket,North,Support,7,Kolkata,External,2471.45,Priya Singh,Manoj Verma
2021,February,BGSW,Consulting,Premium,Google,Support,West,Consulting,10,Bangalore,Internal,819.47,Vikram Joshi,Neha Kapoor
2021,January,BGSW,Services,Standard,Microsoft,Workpacket,South,Support,8,Bangalore,Internal,3755.09,Anil Kumar,Ravi Shankar
2021,April,BGSW,Software,Premium,Microsoft,Support,West,Software,6,Mumbai,External,2601.61,Vikram Joshi,Neha Kapoor
2023,June,BGSW,Services,Premium,BBG,Maintenance,South,Services,4,Bangalore,Internal,2913.29,Anil Kumar,Ravi Shankar
2022,February,BGSW,Support,Standard,Amazon,Support,North,Software,9,Hyderabad,Internal,3434.65,Priya Singh,Manoj Verma
2021,February,BGSW,Consulting,Standard,BBG,Upgrade,South,Consulting,7,Hyderabad,Internal,2205.38,Anil Kumar,Ravi Shankar
2022,April,BGSW,Support,Standard,Wipro,Upgrade,West,Consulting,4,Delhi,Internal,4859.19,Vikram Joshi,Neha Kapoor
2023,March,BGSW,Services,Premium,Infosys,Upgrade,South,Consulting,1,Chennai,Internal,4331.04,Anil Kumar,Ravi Shankar
2023,January,BGSW,Consulting,Standard,Microsoft,Workpacket,South,Services,10,Hyderabad,External,3458.18,Anil Kumar,Ravi Shankar
2022,February,BGSW,Support,Premium,Google,Upgrade,East,Consulting,5,Mumbai,External,4680.58,Meena Das,Sourav Roy
2021,April,BGSW,Services,Premium,Infosys,Workpacket,South,Support,3,Delhi,Internal,4456.72,Anil Kumar,Ravi Shankar
2022,February,BGSW,Software,Basic,Wipro,Maintenance,East,Services,9,Delhi,Internal,4725.19,Meena Das,Sourav Roy
2022,January,BGSW,Services,Basic,Infosys,Workpacket,North,Support,5,Chennai,Internal,3729.25,Priya Singh,Manoj Verma
2023,June,BGSW,Support,Basic,BBG,Maintenance,North,Services,2,Kolkata,External,4232.07,Priya Singh,Manoj Verma
2021,March,BGSW,Consulting,Basic,Google,Workpacket,South,Software,9,Kolkata,External,3024.08,Anil Kumar,Ravi Shankar
2021,June,BGSW,Consulting,Basic,Microsoft,Maintenance,South,Consulting,7,Bangalore,Internal,1887.16,Anil Kumar,Ravi Shankar
2022,February,BGSW,Consulting,Basic,Microsoft,Maintenance,South,Software,10,Kolkata,Internal,4665.94,Anil Kumar,Ravi Shankar
2021,February,BGSW,Software,Premium,Amazon,Maintenance,North,Software,4,Delhi,Internal,4043.19,Priya Singh,Manoj Verma
2022,January,BGSW,Software,Premium,Amazon,Upgrade,South,Support,5,Bangalore,Internal,606.49,Anil Kumar,Ravi Shankar
2022,March,BGSW,Support,Premium,TCS,Maintenance,North,Support,9,Mumbai,External,4726.57,Priya Singh,Manoj Verma
2022,February,BGSW,Support,Premium,Microsoft,Upgrade,South,Support,6,Mumbai,Internal,2233.38,Anil Kumar,Ravi Shankar
2022,January,BGSW,Software,Premium,Infosys,Workpacket,North,Support,7,Hyderabad,External,3304.2,Priya Singh,Manoj Verma
2023,March,BGSW,Support,Basic,BBG,Maintenance,South,Software,5,Chennai,Internal,1363.28,Anil Kumar,Ravi Shankar
2023,June,BGSW,Consulting,Basic,Infosys,Maintenance,West,Software,9,Hyderabad,External,1791.11,Vikram Joshi,Neha Kapoor
2023,May,BGSW,Support,Standard,BBG,Upgrade,West,Consulting,9,Mumbai,Internal,3464.83,Vikram Joshi,Neha Kapoor
2023,June,BGSW,Support,Premium,TCS,Workpacket,East,Support,4,Bangalore,Internal,609.91,Meena Das,Sourav Roy
2022,May,BGSW,Services,Standard,BBG,Workpacket,North,Software,8,Mumbai,Internal,1164.07,Priya Singh,Manoj Verma
2021,April,BGSW,Consulting,Premium,TCS,Upgrade,South,Services,9,Bangalore,Internal,2554.08,Anil Kumar,Ravi Shankar
2023,May,BGSW,Support,Standard,Infosys,Upgrade,West,Software,3,Kolkata,External,2525.31,Vikram Joshi,Neha Kapoor
2023,March,BGSW,Software,Basic,Amazon,Maintenance,North,Software,2,Kolkata,External,1555.22,Priya Singh,Manoj Verma
2022,May,BGSW,Services,Premium,Amazon,Workpacket,East,Software,3,Kolkata,Internal,789.03,Meena Das,Sourav Roy
2022,May,BGSW,Software,Standard,Microsoft,Workpacket,West,Software,7,Chennai,Internal,4355.29,Vikram Joshi,Neha Kapoor
2022,January,BGSW,Support,Standard,TCS,Upgrade,West,Software,9,Kolkata,Internal,2697.03,Vikram Joshi,Neha Kapoor
2022,April,BGSW,Services,Standard,Google,Upgrade,East,Consulting,8,Bangalore,Internal,4581.18,Meena Das,Sourav Roy
2021,June,BGSW,Software,Premium,TCS,Upgrade,South,Consulting,1,Delhi,External,1973.09,Anil Kumar,Ravi Shankar
2022,March,BGSW,Software,Standard,TCS,Upgrade,West,Support,2,Mumbai,Internal,3870.61,Vikram Joshi,Neha Kapoor
2022,February,BGSW,Services,Basic,Microsoft,Support,South,Consulting,4,Hyderabad,Internal,1573.45,Anil Kumar,Ravi Shankar
2023,January,BGSW,Consulting,Standard,Wipro,Maintenance,West,Support,3,Chennai,Internal,4000.06,Vikram Joshi,Neha Kapoor
2022,January,BGSW,Services,Standard,Infosys,Upgrade,North,Software,4,Hyderabad,Internal,958.56,Priya Singh,Manoj Verma
2023,May,BGSW,Services,Basic,TCS,Support,East,Support,9,Mumbai,External,810.31,Meena Das,Sourav Roy
2021,April,BGSW,Software,Premium,BBG,Maintenance,East,Software,3,Mumbai,Internal,3802.08,Meena Das,Sourav Roy
2023,May,BGSW,Software,Standard,BBG,Maintenance,East,Support,4,Hyderabad,External,4467.34,Meena Das,Sourav Roy
2022,May,BGSW,Software,Standard,Microsoft,Upgrade,North,Support,3,Mumbai,Internal,2096.71,Priya Singh,Manoj Verma
2022,March,BGSW,Support,Basic,Microsoft,Workpacket,East,Services,4,Kolkata,External,2698.6,Meena Das,Sourav Roy
2023,April,BGSW,Software,Standard,TCS,Support,North,Services,5,Bangalore,External,3613.04,Priya Singh,Manoj Verma
